,UserID,ISBN,BookRating
84,276788,043935806X,7
429,276925,0385504209,8
648,276953,0446310786,10
676,276957,0312966970,6
691,276964,0440220602,9
812,277042,0971880107,2
865,277096,0064407667,7
884,277124,0440241073,9
898,277143,0345342968,9
1140,277195,0671021001,10
1261,277212,044023722X,8
1291,277246,0452282152,10
1298,277261,0440241073,7
1336,277315,0060976845,5
1362,277363,0156027321,8
1388,277378,0312195516,7
1396,277378,0446608955,4
1422,277378,0804114986,5
1474,277427,0061009059,9
1522,277427,0316776963,8
1581,277427,0385486804,9
1584,277427,0385504209,8
1601,277427,0399501487,9
1647,277427,0440224764,7
1965,277439,0316666343,7
1973,277439,0671027360,7
1982,277462,0312195516,10
2004,277469,0553572997,9
2247,277517,0452282152,8
2296,277535,0316601950,9
2377,277598,0375707972,8
2411,277629,0440241073,8
2499,277639,0380731851,6
2537,277639,0440211727,8
2540,277639,0440214041,9
2759,277698,0316769487,6
2813,277722,0449005615,10
2816,277722,0804114986,8
2827,277743,0446310786,9
2831,277744,0345339681,3
2857,277752,0316666343,7
2860,277756,0385484518,7
2863,277764,0399501487,9
2870,277776,0345339681,7
2887,277798,0385484518,8
2892,277803,0142001740,8
2893,277807,0345443284,5
2977,277884,0380789019,7
2990,277901,0446672211,7
2992,277901,0452282152,8
3004,277903,0440226430,8
3015,277915,0671510053,7
3025,277922,0440225701,6
3039,277923,0385492081,9
3125,277937,0060934417,9
3138,277937,0743237188,7
3142,277938,0446672211,9
3185,277958,0142001740,9
3186,277959,0156027321,8
3225,277965,0385484518,10
3246,277965,0684874350,10
3314,277997,067976402X,8
3337,278007,0316601950,6
3382,278026,0061009059,8
3391,278026,0380731851,5
3422,278026,0671001795,8
3459,278048,0316569321,7
3502,278075,0452282152,8
3503,278079,0385486804,8
3526,278107,0446605239,8
3541,278122,0375727345,10
3564,278137,0345337662,7
3610,278137,0446606812,7
3647,278137,0804106304,8
3775,278162,059035342X,10
3782,278176,0971880107,9
3789,278185,0142000205,4
3863,278188,0440225701,9
4073,278220,0671003755,8
4098,278221,0804106304,9
4124,278243,0156027321,8
4126,278243,0375725784,7
4127,278243,0671510053,8
4143,278254,0671027360,8
4199,278325,0440214041,7
4203,278333,0440225701,10
4209,278342,0671510053,8
4235,278350,0312195516,9
4257,278356,0439064872,8
4258,278356,0439136369,10
4259,278356,0439139600,10
4260,278356,043935806X,10
4309,278390,0671027360,7
6749,278418,0515131229,8
8866,278422,0671027360,6
8901,278469,0316569321,7
8903,278469,0743237188,7
8913,278483,0380731851,8
9003,278535,0446610038,10
9031,278541,0142001740,9
9034,278543,0446605239,5
9048,278550,0345339703,10
9056,278552,0671021001,7
9057,278552,0671510053,8
9080,278561,0446612545,7
9161,278582,0671001795,8
9170,278582,1400034779,10
9176,278586,0446606812,5
9199,278633,014028009X,2
9202,278633,0142000205,7
9204,278633,0316096199,8
9205,278633,0316666343,9
9222,278633,0440226430,9
9300,278645,0060959037,8
9307,278653,0446606812,6
9351,278698,0440241073,10
9379,278755,0385492081,1
9401,278773,0380731851,8
9426,278798,0316284955,7
9463,278843,014028009X,8
9465,278843,0142000205,9
9489,278843,059035342X,8
9607,26,0446310786,10
9608,26,0449005615,9
9624,51,0440225701,9
9666,91,0316769487,9
9691,114,0446612545,9
9695,114,0671027360,10
9697,125,0679429220,10
9724,165,0060976845,9
9726,165,0446612545,5
9955,243,0060915544,10
9962,243,0316601950,9
9966,243,0316776963,9
9989,243,0385720106,7
10001,243,044023722X,7
10037,244,0060987103,8
10084,254,0142001740,9
10186,254,0380789035,10
10208,254,0439064864,9
10209,254,0439064872,9
10210,254,0439136350,9
10211,254,0439136369,9
10212,254,0439139597,9
10251,254,0451524934,9
10279,254,0590353403,9
10290,254,0671021001,7
10365,256,044023722X,8
10378,280,0316769487,7
10423,367,0449005615,9
10484,388,0060976845,3
10485,388,006101351X,6
10614,424,0671021001,6
10616,424,0805063897,8
10626,433,0842329129,5
10673,453,0312278586,6
10702,486,0060976845,8
10773,503,1558743669,10
10778,505,0345313860,7
10803,507,0142001740,10
10939,558,0446364193,8
10970,595,0140293248,9
10972,595,0446672211,10
11078,638,0316666343,10
11081,638,0316769487,10
11082,638,0316776963,10
11096,638,0385504209,10
11097,638,0385505833,10
11128,638,0679746048,7
11148,641,0064407667,5
11316,709,0316666343,3
11326,709,0440219078,10
11516,763,0671510053,10
11540,785,0743237188,5
11551,805,0060928336,7
11561,805,0156027321,9
11575,805,0452282152,8
11580,805,0671003755,8
11603,819,0446364193,7
11752,882,0385504209,10
11805,882,0553572997,10
11818,882,0679429220,9
11820,882,067976402X,10
11844,885,0804106304,5
11850,899,0971880107,2
11862,900,0060928336,9
11941,915,0156027321,10
12014,938,0385335482,9
12071,1008,0312195516,9
12082,1021,0060930535,10
12093,1025,0060928336,5
12167,1031,0671027360,7
12170,1032,0446310786,10
12179,1054,1400034779,8
12198,1075,0142001740,10
12199,1075,0316666343,7
12200,1075,0375726403,7
12201,1075,0385504209,7
12206,1075,0767902521,9
12208,1075,1400034779,5
12264,1129,0064407667,4
12278,1131,0060934417,8
12279,1131,0060976845,7
12303,1131,0446672211,7
12321,1131,0743418174,7
12356,1161,0375725784,5
12373,1167,0440224675,8
12440,1211,0385504209,9
12554,1249,0440226430,5
12576,1261,0316776963,8
12579,1261,0452282152,7
12584,1264,0375707972,8
12658,1359,0399501487,7
12682,1376,0345417623,8
12686,1377,0440224764,8
12689,1389,0553572997,9
12707,1412,0156027321,9
12710,1412,0385486804,9
12730,1424,0060930535,7
12777,1424,0385720106,7
12828,1424,0767902521,8
12834,1424,0804106304,6
12862,1427,0062502182,10
12863,1433,0743418174,3
12866,1435,0060915544,10
12912,1435,0446672211,8
12973,1435,0971880107,5
12987,1436,044022165X,6
13038,1486,0971880107,5
13040,1489,0385492081,8
13049,1504,0345370775,8
13057,1513,0671510053,8
13066,1530,044023722X,8
13070,1535,067976402X,10
13096,1548,0452282152,8
13141,1585,0449212602,8
13160,1597,0316569321,7
13168,1608,0449212602,10
13185,1619,0440225701,9
13193,1650,0804106304,10
13196,1652,0385504209,7
13253,1674,0375725784,10
13315,1706,0451524934,10
13318,1718,0743418174,8
13468,1733,059035342X,10
13496,1733,0971880107,1
13523,1768,0440226430,10
13525,1773,0804106304,9
13533,1790,044022165X,5
13561,1803,0385504209,9
13563,1805,0312195516,9
13600,1830,0553572997,7
13615,1848,0156027321,10
13620,1848,0345342968,10
13627,1848,0345417623,8
13660,1848,0786868716,10
13666,1848,0812550706,8
13702,1892,0767902521,9
13705,1898,0385484518,8
13844,1903,0812550706,10
13900,1928,0316666343,10
13927,1933,0440226430,8
14014,2012,0345353145,8
14023,2012,0553279912,10
14035,2019,0440211727,5
14036,2019,0440214041,5
14073,2030,0140298479,10
14145,2033,0345337662,5
14155,2033,0439064864,9
14156,2033,0439136350,9
14157,2033,0439139597,9
14158,2033,043935806X,9
14193,2033,0590353403,9
14317,2036,1573229326,9
14393,2089,0446605239,10
14418,2099,0440224764,8
14445,2108,0553572997,9
14537,2110,059035342X,10
14616,2127,0446605239,8
14713,2152,0446612545,7
14731,2179,0060392452,9
14740,2179,0385504209,10
14747,2179,0451524934,8
14755,2179,0590353403,10
14785,2183,0671021001,9
14801,2197,0312291639,9
14812,2198,0451524934,10
14816,2204,0440211727,9
14841,2250,0684874350,8
14852,2271,0684874350,10
14944,2276,0385505833,5
14991,2276,0440221471,10
14992,2276,0440236673,10
15253,2276,0805063897,10
15414,2295,0062502182,6
15486,2333,0312195516,9
15498,2337,0060928336,9
15501,2337,0142001740,8
15505,2337,0385505833,7
15537,2357,0375725784,8
15700,2375,0671003755,9
15710,2388,0142001740,6
15723,2399,0345337662,9
15757,2411,0971880107,3
15759,2414,0062502182,7
15942,2466,0312966970,9
15967,2503,1400034779,7
16016,2559,0060928336,7
16024,2565,1558743669,10
16028,2569,0553572997,8
16056,2591,0449212602,9
16108,2638,0142000205,8
16286,2766,0316666343,9
16328,2766,0440219078,8
16340,2766,0446310786,10
16344,2766,0446611867,7
16347,2766,0449005615,9
16364,2766,0553279912,7
16422,2766,0767902521,8
16480,2766,0971880107,6
16538,2770,0842329129,6
16622,2799,0451524934,10
16660,2854,0316666343,7
16697,2891,0060928336,6
16714,2891,0142001740,7
16715,2891,0156027321,5
16803,2891,0671003755,7
16822,2891,0804106304,7
16885,2907,044023722X,5
16996,2977,0316569321,7
17007,2977,0375725784,3
17059,2977,0452282152,7
17089,2977,0671021001,9
17192,2995,0060928336,6
17194,2996,0345361792,8
17213,3005,0312278586,5
17237,3026,0804106304,8
17241,3032,0971880107,1
17284,3079,0312278586,5
17285,3079,0312305060,8
17305,3099,0440211727,8
17307,3099,0446610038,7
17311,3100,0316601950,6
17321,3104,0805063897,8
17334,3113,0385265700,6
17375,3145,044021145X,9
17411,3145,1573229326,5
17441,3167,0345337662,5
17446,3167,0345370775,9
17459,3167,0440219078,10
17500,3167,0812550706,10
17507,3168,0684872153,8
17526,3192,0064407667,7
17542,3206,0385484518,8
17565,3261,0316666343,8
17624,3300,0439136350,10
17707,3329,0440234743,8
17749,3344,0671027360,8
17750,3344,1400034779,9
17765,3346,0316666343,9
17777,3346,0380789035,6
17839,3350,0140293248,6
17840,3350,0316096199,8
17844,3350,0804106304,10
17856,3362,0375725784,7
18017,3363,0316096199,10
18257,3363,0446672211,10
18819,3371,0440226430,9
18892,3373,0312291639,8
18898,3373,0375727345,7
18935,3373,0671027360,5
18999,3418,059035342X,10
19029,3460,0446605239,6
19099,3507,0449212602,8
19113,3512,0446611867,8
19184,3542,0446310786,10
19185,3542,044651652X,3
19215,3556,0385504209,10
19227,3556,044651652X,10
19243,3556,0671027360,10
19270,3569,0060502258,7
19310,3580,0671003755,6
19318,3593,0316666343,9
19342,3601,0316284955,7
19374,3640,0671027360,8
19420,3669,0446672211,10
19530,3709,0440236673,7
19563,3739,067976402X,5
19608,3756,0446611867,7
20298,3817,0440206154,7
20304,3821,0060930535,7
20330,3827,0345337662,7
20403,3827,0804114986,10
20505,3869,0684872153,9
20543,3894,0440226430,10
20635,3923,0064407667,5
20653,3923,0380789019,7
20725,3977,0375700757,9
20746,3999,0385504209,10
20757,4017,0060915544,8
20779,4017,014028009X,9
20797,4017,0316096199,10
20801,4017,0316666343,10
20816,4017,0345443284,10
20830,4017,0375707972,10
20843,4017,0385265700,9
20850,4017,0385486804,10
20868,4017,0446310786,10
20883,4017,0452282829,10
20895,4017,0671510053,10
20904,4017,067976402X,10
20910,4017,068484477X,5
21005,4059,006101351X,6
21013,4066,0440236673,7
21026,4077,0380789035,8
21030,4090,0316601950,8
21093,4092,0671027360,7
21121,4098,0385504209,10
21125,4098,0671027360,7
21222,4131,0971880107,1
21259,4144,067976402X,5
21273,4149,0842329129,1
21276,4157,0060392452,8
21324,4157,0440206154,9
21390,4169,0385504209,10
21400,4179,0345353145,7
21406,4183,0743418174,6
21417,4193,0375727345,5
21421,4196,0375700757,9
21471,4221,1558743669,9
21504,4225,0446310786,10
21506,4225,0804106304,6
21508,4225,1573229326,5
21513,4228,014028009X,7
21518,4228,0671510053,10
21579,4334,0060392452,6
21669,4365,0399501487,10
21917,4385,0440221471,10
22022,4386,0452282829,6
22204,4516,0385722206,8
22266,4570,0671003755,8
22282,4571,1400034779,9
22287,4579,0440214041,5
22405,4669,0316601950,6
22441,4732,067976402X,9
22480,4784,0971880107,2
22481,4785,006101351X,5
22485,4785,0140293248,6
22486,4785,0140298479,7
22489,4785,0312291639,9
22496,4785,0380789019,7
22534,4795,0060392452,8
22535,4795,0060930535,10
22539,4795,0316666343,9
22545,4795,0452282152,9
22547,4795,1558743669,8
22555,4802,0316666343,9
22559,4802,0439136350,7
22572,4809,0439064864,7
22573,4809,0439136350,9
22574,4809,0439139597,8
22576,4809,0590353403,8
22596,4821,0786868716,6
22647,4878,0440219078,10
22671,4896,0439064872,10
22729,4900,0316776963,7
22771,4938,006101351X,7
22779,4938,0345313860,10
22788,4938,0385492081,7
22797,4938,0440220602,8
22860,4973,0385484518,8
22873,4999,1400034779,10
22874,5003,0452282152,7
22900,5037,0440211727,10
22901,5037,0440213525,8
22902,5037,0440214041,9
22903,5037,0440221471,10
22904,5037,0440226430,6
22905,5037,0446608955,8
22922,5048,0060392452,10
22928,5048,0743237188,10
22932,5049,0316666343,8
22949,5091,0062502182,8
22970,5126,0971880107,5
23016,5151,0812550706,10
23033,5163,0385486804,5
23066,5207,0440241073,8
23076,5207,059035342X,8
23244,5296,0385265700,6
23338,5333,0440213525,9
23441,5375,0449005615,8
23453,5385,0345370775,10
23518,5439,0060928336,8
23519,5439,0060938455,9
23554,5439,0671001795,8
23566,5439,0805063897,10
23635,5476,0312278586,7
23638,5476,0316096199,4
23639,5476,0316666343,4
23649,5476,0385504209,10
23653,5476,0440225701,5
23732,5483,0804114986,8
23738,5490,0060930535,7
23817,5539,0142001740,8
23823,5539,0345339681,10
23957,5559,0385504209,8
23976,5582,014028009X,10
23977,5582,0140293248,9
23981,5582,0312966970,10
23998,5582,0380789035,9
24029,5582,044651652X,7
24116,5585,0312983271,5
24134,5604,0971880107,6
24149,5609,0345313860,10
24261,5638,006101351X,9
24418,5722,0060930535,8
24420,5722,0385504209,7
24466,5737,0316776963,5
24468,5737,0385503822,8
24516,5768,0385265700,8
24550,5782,0316284955,8
24555,5783,0812550706,8
24583,5815,0385505833,7
24588,5815,0679746048,5
24638,5850,0375706771,10
24647,5866,0060502258,7
24664,5899,0380789035,9
24798,5903,0449212602,9
24900,5932,0312291639,5
24908,5942,0842329129,2
24926,5956,0842329129,5
25079,6015,0316284955,5
25087,6018,0142000205,5
25090,6022,0446612545,8
25146,6073,0440211727,6
25147,6073,0440214041,5
25148,6073,0440226430,6
25184,6074,0440226430,8
25185,6074,0446610038,8
25267,6102,1573229326,4
25294,6115,0440224764,10
25333,6125,0385503822,8
25347,6153,1558743669,7
25370,6178,0316569321,8
25395,6217,0060915544,8
25425,6238,0345361792,8
25454,6242,0060934417,7
25458,6242,0060987103,7
25471,6242,0140293248,5
25485,6242,0312195516,7
25492,6242,0312291639,5
25507,6242,0375707972,8
25509,6242,0375726403,7
25596,6242,0679746048,5
25598,6242,067976402X,8
25608,6242,068484477X,8
25670,6242,1573229326,6
25718,6251,0060392452,10
25744,6251,0061009059,7
25777,6251,0140067477,10
25870,6251,0316569321,8
25925,6251,0375725784,4
25927,6251,0375727345,6
25954,6251,0380789035,7
25978,6251,0385484518,7
26040,6251,0439136350,10
26041,6251,0439139597,10
26046,6251,043935806X,9
26052,6251,0440206154,7
26059,6251,0440222656,7
26061,6251,0440224675,6
26322,6251,067976402X,8
26675,6308,0452282829,8
26717,6323,0345313860,6
26786,6323,0440213525,6
26931,6333,0064407667,6
27003,6347,0446605239,7
27007,6348,0440241073,8
27008,6349,0060928336,8
